"filename", "language", "JavaScript", "PHP", "JSON with Comments", "JSON", "XML", "YAML", "Markdown", "CSS", "HTML", "comment", "blank", "total"
"c:\xampp\htdocs\VegaExpress\pesquisa.php", "PHP", 0, 19, 0, 0, 0, 0, 0, 0, 0, 6, 9, 34
"c:\xampp\htdocs\VegaExpress\produto.php", "PHP", 0, 19, 0, 0, 0, 0, 0, 0, 0, 4, 8, 31
"c:\xampp\htdocs\VegaExpress\registroEmpresa.php", "PHP", 0, 16, 0, 0, 0, 0, 0, 0, 0, 5, 4, 25
"c:\xampp\htdocs\VegaExpress\sidebarT.php", "PHP", 0, 85, 0, 0, 0, 0, 0, 0, 0, 0, 8, 93
"c:\xampp\htdocs\VegaExpress\sobreN.php", "PHP", 0, 13, 0, 0, 0, 0, 0, 0, 0, 4, 5, 22
"c:\xampp\htdocs\VegaExpress\vendor\autoload.php", "PHP", 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4, 8
"c:\xampp\htdocs\VegaExpress\vendor\composer\ClassLoader.php", "PHP", 0, 275, 0, 0, 0, 0, 0, 0, 0, 153, 52, 480
"c:\xampp\htdocs\VegaExpress\vendor\composer\InstalledVersions.php", "PHP", 0, 171, 0, 0, 0, 0, 0, 0, 0, 0, 131, 302
"c:\xampp\htdocs\VegaExpress\vendor\composer\autoload_classmap.php", "PHP", 0, 21, 0, 0, 0, 0, 0, 0, 0, 1, 4, 26
"c:\xampp\htdocs\VegaExpress\vendor\composer\autoload_namespaces.php", "PHP", 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 4, 11
"c:\xampp\htdocs\VegaExpress\vendor\composer\autoload_psr4.php", "PHP", 0, 7, 0, 0, 0, 0, 0, 0, 0, 1, 4, 12
"c:\xampp\htdocs\VegaExpress\vendor\composer\autoload_real.php", "PHP", 0, 41, 0, 0, 0, 0, 0, 0, 0, 4, 13, 58
"c:\xampp\htdocs\VegaExpress\vendor\composer\autoload_static.php", "PHP", 0, 64, 0, 0, 0, 0, 0, 0, 0, 1, 9, 74
"c:\xampp\htdocs\VegaExpress\vendor\composer\installed.json", "JSON", 0, 0, 0, 150, 0, 0, 0, 0, 0, 0, 1, 151
"c:\xampp\htdocs\VegaExpress\vendor\composer\installed.php", "PHP", 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 1, 43
"c:\xampp\htdocs\VegaExpress\vendor\composer\platform_check.php", "PHP", 0, 21, 0, 0, 0, 0, 0, 0, 0, 1, 5, 27
"c:\xampp\htdocs\VegaExpress\vendor\mobiledetect\mobiledetectlib\Mobile_Detect.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\VegaExpress\vendor\mobiledetect\mobiledetectlib\Mobile_Detect.php", "PHP", 0, 678, 0, 0, 0, 0, 0, 0, 0, 850, 156, 1684
"c:\xampp\htdocs\VegaExpress\vendor\mobiledetect\mobiledetectlib\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 232, 0, 0, 0, 113, 345
"c:\xampp\htdocs\VegaExpress\vendor\mobiledetect\mobiledetectlib\composer.json", "JSON", 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 1, 32
"c:\xampp\htdocs\VegaExpress\vendor\mobiledetect\mobiledetectlib\docker-compose.yml", "YAML", 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 1, 16
"c:\xampp\htdocs\VegaExpress\vendor\mobiledetect\mobiledetectlib\docs\CONTRIBUTING.md", "Markdown", 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 8, 48
"c:\xampp\htdocs\VegaExpress\vendor\mobiledetect\mobiledetectlib\docs\HISTORY.md", "Markdown", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 6, 12
"c:\xampp\htdocs\VegaExpress\vendor\mobiledetect\mobiledetectlib\docs\ISSUE_TEMPLATE.md", "Markdown", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 7, 15
"c:\xampp\htdocs\VegaExpress\vendor\mobiledetect\mobiledetectlib\docs\KNOWN_LIMITATIONS.md", "Markdown", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 2, 15
"c:\xampp\htdocs\VegaExpress\vendor\mobiledetect\mobiledetectlib\export\exportToJSON.php", "PHP", 0, 28, 0, 0, 0, 0, 0, 0, 0, 32, 8, 68
"c:\xampp\htdocs\VegaExpress\vendor\mobiledetect\mobiledetectlib\namespaced\Detection\MobileDetect.php", "PHP", 0, 4, 0, 0, 0, 0, 0, 0, 0, 16, 3, 23
"c:\xampp\htdocs\VegaExpress\vendor\mobiledetect\mobiledetectlib\phpcs.xml", "XML", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 20
"c:\xampp\htdocs\VegaExpress\vendor\phpmailer\phpmailer\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 160, 0, 0, 0, 63, 223
"c:\xampp\htdocs\VegaExpress\vendor\phpmailer\phpmailer\SECURITY.md", "Markdown", 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 17, 33
"c:\xampp\htdocs\VegaExpress\vendor\phpmailer\phpmailer\composer.json", "JSON", 0, 0, 0, 65, 0, 0, 0, 0, 0, 0, 1, 66
"c:\xampp\htdocs\VegaExpress\vendor\phpmailer\phpmailer\get_oauth_token.php", "PHP", 0, 84, 0, 0, 0, 0, 0, 0, 0, 46, 17, 147
"c:\xampp\htdocs\VegaExpress\vendor\phpmailer\phpmailer\language\phpmailer.lang-af.php", "PHP", 0, 20, 0, 0, 0, 0, 0, 0, 0, 4, 3, 27
"c:\xampp\htdocs\VegaExpress\vendor\phpmailer\phpmailer\language\phpmailer.lang-ar.php", "PHP", 0, 21, 0, 0, 0, 0, 0, 0, 0, 5, 3, 29
"c:\xampp\htdocs\VegaExpress\vendor\phpmailer\phpmailer\language\phpmailer.lang-az.php", "PHP", 0, 19, 0, 0, 0, 0, 0, 0, 0, 6, 3, 28
"c:\xampp\htdocs\VegaExpress\vendor\phpmailer\phpmailer\language\phpmailer.lang-ba.php", "PHP", 0, 20, 0, 0, 0, 0, 0, 0, 0, 5, 3, 28
"c:\xampp\htdocs\VegaExpress\vendor\phpmailer\phpmailer\language\phpmailer.lang-be.php", "PHP", 0, 19, 0, 0, 0, 0, 0, 0, 0, 6, 3, 28
